               table               |                     index                      | index_size | is_unique | is_primary |                                                                    def                                                                    
 paytabs_callbacks                 | idx_paytabs_callbacks_received_at              | 16 kB      | f         | f          | CREATE INDEX idx_paytabs_callbacks_received_at ON public.paytabs_callbacks USING btree (received_at DESC)
 paytabs_callbacks                 | idx_paytabs_callbacks_tran_ref                 | 16 kB      | f         | f          | CREATE INDEX idx_paytabs_callbacks_tran_ref ON public.paytabs_callbacks USING btree (tran_ref)
 paytabs_callbacks                 | paytabs_callbacks_pkey                         | 16 kB      | t         | t          | CREATE UNIQUE INDEX paytabs_callbacks_pkey ON public.paytabs_callbacks USING btree (id)
 paytabs_callbacks                 | ux_paytabs_callbacks_tran_ref                  | 16 kB      | t         | f          | CREATE UNIQUE INDEX ux_paytabs_callbacks_tran_ref ON public.paytabs_callbacks USING btree (tran_ref) WHERE (tran_ref IS NOT NULL)
 product_images                    | idx_product_images_product                     | 16 kB      | f         | f          | CREATE INDEX idx_product_images_product ON public.product_images USING btree (product_id, "position")
 product_images                    | product_images_pid_pos_idx                     | 16 kB      | f         | f          | CREATE INDEX product_images_pid_pos_idx ON public.product_images USING btree (product_id, "position")
 product_images                    | product_images_pkey                            | 16 kB      | t         | t          | CREATE UNIQUE INDEX product_images_pkey ON public.product_images USING btree (id)
 product_media                     | product_media_pkey                             | 16 kB      | t         | t          | CREATE UNIQUE INDEX product_media_pkey ON public.product_media USING btree (id)
 product_variants                  | idx_product_variants_active                    | 16 kB      | f         | f          | CREATE INDEX idx_product_variants_active ON public.product_variants USING btree (product_id, is_active)
 product_variants                  | idx_product_variants_product                   | 16 kB      | f         | f          | CREATE INDEX idx_product_variants_product ON public.product_variants USING btree (product_id)
 product_variants                  | idx_product_variants_single_default            | 16 kB      | t         | f          | CREATE UNIQUE INDEX idx_product_variants_single_default ON public.product_variants USING btree (product_id) WHERE (is_default = true)
 product_variants                  | idx_product_variants_sort                      | 16 kB      | f         | f          | CREATE INDEX idx_product_variants_sort ON public.product_variants USING btree (product_id, sort_order, id)
 product_variants                  | product_variants_pkey                          | 16 kB      | t         | t          | CREATE UNIQUE INDEX product_variants_pkey ON public.product_variants USING btree (id)
 products                          | idx_products_active                            | 16 kB      | f         | f          | CREATE INDEX idx_products_active ON public.products USING btree (is_active)
 products                          | idx_products_audiences                         | 24 kB      | f         | f          | CREATE INDEX idx_products_audiences ON public.products USING gin (audiences)
 products                          | idx_products_category                          | 16 kB      | f         | f          | CREATE INDEX idx_products_category ON public.products USING btree (category_key)
 products                          | idx_products_created_at                        | 16 kB      | f         | f          | CREATE INDEX idx_products_created_at ON public.products USING btree (created_at DESC)
 products                          | idx_products_seasons                           | 24 kB      | f         | f          | CREATE INDEX idx_products_seasons ON public.products USING gin (seasons)
 products                          | idx_products_slug_unique                       | 16 kB      | t         | f          | CREATE UNIQUE INDEX idx_products_slug_unique ON public.products USING btree (slug)
 products                          | idx_products_wear_times                        | 24 kB      | f         | f          | CREATE INDEX idx_products_wear_times ON public.products USING gin (wear_times)
 products                          | products_pkey                                  | 16 kB      | t         | t          | CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
 products                          | products_slug_ar_key                           | 16 kB      | t         | f          | CREATE UNIQUE INDEX products_slug_ar_key ON public.products USING btree (slug_ar)
 products                          | products_slug_en_key                           | 16 kB      | t         | f          | CREATE UNIQUE INDEX products_slug_en_key ON public.products USING btree (slug_en)
 promotions                        | idx_promotions_active                          | 16 kB      | f         | f          | CREATE INDEX idx_promotions_active ON public.promotions USING btree (is_active)
 promotions                        | idx_promotions_code_unique                     | 16 kB      | t         | f          | CREATE UNIQUE INDEX idx_promotions_code_unique ON public.promotions USING btree (code)
 promotions                        | idx_promotions_created_at                      | 16 kB      | f         | f          | CREATE INDEX idx_promotions_created_at ON public.promotions USING btree (created_at DESC)
 promotions                        | idx_promotions_kind                            | 16 kB      | f         | f          | CREATE INDEX idx_promotions_kind ON public.promotions USING btree (promo_kind)
